date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:21	79035/79035	---M-Z	200	added ('OK')	text/html	etag:%226620808-134bb-602e608a13dfc-gzip%22	https://codervent.com/fobia/demo/ltr/index.html	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/index.html	(from )
15:25:23	98/98	---M-Z	200	added ('OK')	text/plain	etag:%225fe3396-62-5fdb6110cf3db-gzip%22	https://codervent.com/robots.txt		(from )
15:25:23	1738/1738	---M-Z	200	added ('OK')	text/css	etag:%2266206e5-6ca-602e60a516f25-gzip%22	https://codervent.com/fobia/demo/ltr/assets/css/pace.min.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/css/pace.min.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:24	12293/12293	---M-Z	200	added ('OK')	text/javascript	etag:%226620766-3005-602e60b022d76-gzip%22	https://codervent.com/fobia/demo/ltr/assets/js/pace.min.js	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/js/pace.min.js	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:24	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%2266207ca-b94-602e616c39b5b-gzip%22	https://codervent.com/fobia/demo/ltr/assets/plugins/simplebar/css/simplebar.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:24	1819/1819	---M-Z	200	added ('OK')	text/css	etag:%2266207c4-71b-602e616523bc7-gzip%22	https://codervent.com/fobia/demo/ltr/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:25	1922/1922	---M-Z	200	added ('OK')	text/css	etag:%2266207a5-782-602e6155bae48-gzip%22	https://codervent.com/fobia/demo/ltr/assets/plugins/metismenu/css/metisMenu.min.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:26	22255/22255	---M-Z	200	added ('OK')	text/css	etag:%2266206e0-56ef-602e60a344644-gzip%22	https://codervent.com/fobia/demo/ltr/assets/css/bootstrap-extended.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/css/bootstrap-extended.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:26	263212/263212	---M-Z	200	added ('OK')	text/css	etag:%2266206e1-4042c-602e60a37b915-gzip%22	https://codervent.com/fobia/demo/ltr/assets/css/bootstrap.min.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/css/bootstrap.min.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:26	26477/26477	---M-Z	200	added ('OK')	text/css	etag:%2266206e8-676d-602e60a58b670-gzip%22	https://codervent.com/fobia/demo/ltr/assets/css/style.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/css/style.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:27	135234/135234	---M-Z	200	added ('OK')	text/css	etag:%2266206e4-21042-602e60a4c5a5c-gzip%22	https://codervent.com/fobia/demo/ltr/assets/css/icons.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/css/icons.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:27	13546/13546	---M-Z	200	added ('OK')	text/css	etag:%2266206e3-34ea-602e60a3cd997-gzip%22	https://codervent.com/fobia/demo/ltr/assets/css/dark-theme.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/css/dark-theme.css	(from https://codervent.com/fobia/demo/ltr/index.html)
15:25:28	1258/1258	---M-Z	200	added ('OK')	text/css	etag:%2266206e7-4ea-602e60a5518a7-gzip%22	https://codervent.com/fobia/demo/ltr/assets/css/semi-dark.css	C:/Users/sfcexam/Desktop/adminpanel/adminpanel/codervent.com/fobia/demo/ltr/assets/css/semi-dark.css	(from https://codervent.com/fobia/demo/ltr/index.html)
